,IDU,i_mutli_crit
0,310240A0436,0.12104554657340286
1,310240A0494,0.12239637458706305
2,310240A0126,0.1421692566641338
3,310240A0495,0.12644915874430646
4,310240A0334,0.1215452874342742
5,310240A0387,0.12322721444288713
6,310240A0389,0.12242415667598584
7,310240A0390,0.12203675097479087
8,310240A0391,0.119830748241522
9,310240A0417,0.12193647042735503
10,310240A0484,0.12645001381083099
11,310240A0486,0.12310122334339389
12,310240A0483,0.12651826344628467
13,310240A0291,0.12934359404176543
14,310240A0293,0.1283932391025113
15,310240A0422,0.1196359467005293
16,310240A0423,0.12035277458880028
17,310240A0428,0.12028005827636677
18,310240A0540,0.12357637911830152
19,310240A0539,0.1224354418388302
20,310240A0425,0.12570242127665834
21,310240A0482,0.15737149362175465
22,310240A0127,0.15910694699854874
23,310240A0137,0.1692564491580633
24,310240B0432,0.12379150340813388
25,310240B0433,0.12376707907582522
26,310240B0394,0.12785028633129106
27,310240B0393,0.12829249592714367
28,310240B0383,0.12575086498874516
29,310240B0382,0.12265480655385631
30,310240B0164,0.12282919645464666
31,310240B0157,0.12319523691018314
32,310240B0155,0.12288087628316172
33,310240B0153,0.12300053671904669
34,310240B0152,0.13204234956360522
35,310240B0151,0.13578868374053732
36,310240B0150,0.1347778039753556
37,310240B0149,0.13585536270609752
38,310240B0402,0.13205978128090723
39,310240B0401,0.13069703670578592
40,310240B0400,0.13095998130454023
41,310240B0381,0.12492335541914301
42,310240B0373,0.12238872028038034
43,310240B0371,0.12276417499616651
44,310240B0226,0.12421186649581935
45,310240B0197,0.12245741226356618
46,310240B0193,0.12207862653626399
47,310240B0418,0.13078193465258905
48,310240B0417,0.1316321010765182
49,310240B0420,0.1329579003920585
50,310240B0384,0.132127782469558
51,310240B0252,0.1388029986212288
52,310240B0247,0.1256864647099134
53,310240B0240,0.13408336163246712
54,310240B0230,0.12526234727719573
55,310240B0146,0.1588897895656631
56,310240B0246,0.16513638044565224
57,310240B0199,0.12228000184883715
58,310240C0794,0.12432527332587225
59,310240C0797,0.12261986059676473
60,310240C0793,0.1256821627155959
61,310240C0333,0.12142321560541931
62,310240C0334,0.14430816198896898
63,310240C0050,0.13110996503073702
64,310240C0784,0.12753305629109413
65,310240C0581,0.1754566583216971
66,310240C0815,0.12261372265736593
67,310240C0773,0.1303064005153082
68,310240C0224,0.12279236479786416
69,310240C0222,0.1238869498703882
70,310240C0759,0.12817917379823723
71,310240C0758,0.1296743445419878
72,310240C0679,0.12998730457025975
73,310240C0600,0.12717476065050778
74,310240C0214,0.12780287635315973
75,310240C0210,0.12449026769392196
76,310240C0609,0.1279053475416826
77,310240C0607,0.13573197986913746
78,310240C0354,0.1264196444120573
79,310240C0212,0.12674318187825095
80,310240C0809,0.15267386705001829
81,310240C0741,0.12782941017479857
82,310240C0739,0.12776049522884902
83,310240C0604,0.12636938268830625
84,310240C0833,0.12305713381003913
85,310240C0804,0.1289483845483836
86,310240C0805,0.1289757061219015
87,310240C0808,0.12360231045992875
88,310240C0806,0.12361456789825515
89,310240C0718,0.13019566619121192
90,310240C0717,0.13024712350636222
91,310240C0639,0.12893612950921168
92,310240C0597,0.12956295829683936
93,310240C0202,0.125369354523065
94,310240C0201,0.12330038440502925
95,310240C0189,0.12268787480506355
96,310240C0188,0.12449828207507044
97,310240C0173,0.12521696035140945
98,310240C0172,0.12328138071633728
99,310240C0807,0.1246416786492348
100,310240C0625,0.12525262161906933
101,310240C0621,0.13223688293096414
102,310240C0197,0.1453540102302013
103,310240C0835,0.12665045734215483
104,310240C0836,0.12232125358089825
105,310240C0803,0.13043508631484768
106,310240C0798,0.1299133278931134
107,310240C0788,0.1288505609034763
108,310240C0631,0.12498107300037634
109,310240C0182,0.12312295894557994
110,310240C0169,0.14691303611054696
111,310240C0725,0.12377303967665139
112,310240C0812,0.12454517510759909
113,310240C0789,0.12437298608550851
114,310240D0588,0.13056544338227008
115,310240D0591,0.1344809441269853
116,310240D0590,0.1319522753951706
117,310240D0575,0.13470329091919134
118,310240D0468,0.1297929239934432
119,310240D0467,0.12973010442833016
120,310240D0213,0.13206209941030922
121,310240D0574,0.13331896881618943
122,310240D0573,0.12960502253137127
123,310240D0550,0.13216156432811924
124,310240D0508,0.13353206465443895
125,310240D0507,0.14768489434153678
126,310240D0246,0.13559982626745004
127,310240D0245,0.14142279230096566
128,310240D0244,0.13905790885732341
129,310240D0549,0.1403692502817642
130,310240D0523,0.1640334357658873
131,310270D0140,0.12428856330977081
132,310270D0141,0.12113605757117203
133,310270D0142,0.14033530072660402
134,310270D0143,0.12052616709361481
135,310270D0144,0.11995405897149863
136,310270D0145,0.1215595622747211
137,310270D0146,0.11954932350979103
138,310270D0147,0.12021152102583364
139,310270D0148,0.12657719689155125
140,310270D0150,0.12794201998146346
141,310270D0151,0.12343583877950452
142,310270D0226,0.12706079987560126
143,310270D0227,0.1272589441112772
144,310270D0135,0.13089407247182278
145,310270E0188,0.1425372190011778
146,310270F0211,0.12500424275009556
147,310270F0212,0.11860131391956165
148,310270F0205,0.11923379231938135
149,310270F0201,0.12430096153200486
150,310270F0209,0.12250523180939475
151,310270F0150,0.12253971326242856
152,310270F0151,0.1204600424504422
153,310270F0217,0.12572727196879405
154,310270F0218,0.12403053554067445
155,310270F0199,0.11949401953249443
156,310270F0203,0.12008359696972995
157,310270G0042,0.12046975936128254
158,310270G0059,0.12478297704797511
159,310270G0209,0.15597382403664173
160,310330A1170,0.13942193572986006
161,310330A0131,0.1409342383894489
162,310330A0130,0.14236432752105485
163,310330A0137,0.13905193707084088
164,310330A1168,0.142635798800608
165,310330A0138,0.1453760939238977
166,310330C0263,0.13721213157367662
167,310330C0264,0.14128474104629613
168,310330C0273,0.15042928525777002
169,310330C0298,0.13485782707736513
170,310330C0291,0.13790373629067443
171,310330C0297,0.15087090208285317
172,310330C0114,0.1348679405576818
173,310330C0232,0.14136606479262132
174,310330C0115,0.14316484320489267
175,310330C0113,0.14755437792303308
176,310330C0261,0.14872389272280975
177,310330C0177,0.1657143753678339
178,310330C0279,0.18674326029949254
179,310330D0140,0.14556630781501412
180,310330D0190,0.14260499304584515
181,310330D0235,0.14082046616581922
182,310330D0233,0.14309764394103333
183,310330D0232,0.14102928541042334
184,310330D0237,0.13848907955327724
185,310330D0236,0.14246241488076325
186,310330D0147,0.14050839613703206
187,310330D0174,0.14324686104830062
188,310330D0021,0.1444745569724029
189,310330D0130,0.1433748667969089
190,310330D0125,0.1492216121803992
191,310330D0126,0.14949407503095696
192,310330D0149,0.14374811507199833
193,310330D0148,0.1435273268150386
194,310330D0141,0.14590251481023284
195,310330D0191,0.1559855666827253
196,310330D0143,0.14416925353555385
197,310330D0142,0.1441961646157893
198,310330D0063,0.13742389286351175
199,310330D0249,0.14651845121054857
200,310330D0250,0.1539649836857084
201,310330E0869,0.13253258864413067
202,310330E0871,0.13085276714105754
203,310330E0035,0.13655853240818414
204,310330E0044,0.1340280766426145
205,310330E0046,0.13301885410810643
206,310330E0033,0.1319382276780863
207,310330E0034,0.13333143403101969
208,310330E0047,0.1604818715896326
209,310330E0868,0.165902679152866
210,310330E0171,0.13121098704659157
211,310330E0172,0.1313138423882182
212,310330E0167,0.1380664099548791
213,310330E0169,0.1494667677021483
214,310330E0679,0.1405355699447849
215,310330E0164,0.1344611072254793
216,310330E0537,0.138982897430964
217,310330E0536,0.1380012023264159
218,310330H0719,0.13583498337261674
219,310330H0720,0.1306422326689872
220,310330H0723,0.13583771358058674
221,310330H0470,0.1345184061874479
222,310330H0471,0.13221653399681182
223,310330H0472,0.13147649356113314
224,310330H0378,0.13417055147235196
225,310330H0379,0.13421410005329232
226,310330H0477,0.1309262229584668
227,310330H0370,0.1424097210725958
228,310330H0456,0.13153264242259202
229,310330H0503,0.19311264372194026
230,310330I0253,0.12970983327413332
231,310330I0567,0.12867243645833096
232,310330I0566,0.12936806077610677
233,310330I0386,0.13594626370454468
234,310330I0410,0.1352728581633749
235,310330I0432,0.1376978267344694
236,310330I0411,0.13403893681850435
237,310330I0503,0.12949953544150383
238,310330I0504,0.1291447025368654
239,310330I0054,0.13444548663538566
240,310330I0055,0.14874055254173543
241,310330I0065,0.15563488273803708
242,310330I0404,0.1350946760698079
243,310330I0414,0.13498372650929363
244,310330I0415,0.13316946481450906
245,310330I0384,0.1359832404417526
246,310330I0385,0.13609506851013223
247,310330I0235,0.1333476431063619
